date,game_pk,game_time_utc,team,opponent,home_away,slot,batter_id,batter_name,opp_starter_id,opp_starter_name,bats,opp_throws,stand
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,1,699302,Héctor Rodríguez,663554,Casey Mize,L,R,L
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,2,682829,Elly De La Cruz,663554,Casey Mize,S,R,L
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,3,701398,Sal Stewart,663554,Casey Mize,R,R,R
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,4,668709,JJ Bleday,663554,Casey Mize,L,R,L
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,5,663886,Tyler Stephenson,663554,Casey Mize,R,R,R
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,6,667472,Dane Myers,663554,Casey Mize,R,R,R
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,7,682877,Juan Brito,663554,Casey Mize,S,R,L
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,8,680574,Matt McLain,663554,Casey Mize,R,R,R
2026-09-02,824470,2026-09-02T16:40:00Z,Cincinnati Reds,San Diego Padres,home,9,695490,Edwin Arroyo,663554,Casey Mize,S,R,L
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,1,665487,Fernando Tatis Jr.,682227,Brandon Williamson,R,L,R
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,2,669392,Samad Taylor,682227,Brandon Williamson,R,L,R
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,3,701538,Jackson Merrill,682227,Brandon Williamson,L,L,L
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,4,664034,Ty France,682227,Brandon Williamson,R,L,R
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,5,593428,Xander Bogaerts,682227,Brandon Williamson,R,L,R
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,6,806956,Ethan Salas,682227,Brandon Williamson,L,L,L
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,7,669720,Austin Hays,682227,Brandon Williamson,R,L,R
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,8,669134,Luis Campusano,682227,Brandon Williamson,R,L,R
2026-09-02,824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,away,9,630105,Jake Cronenworth,682227,Brandon Williamson,L,L,L
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,1,695578,James Wood,656550,Grant Holmes,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,2,694673,Abimelec Ortiz,656550,Grant Holmes,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,3,686611,Dylan Crews,656550,Grant Holmes,R,R,R
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,4,682928,CJ Abrams,656550,Grant Holmes,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,5,665953,Andrés Chaparro,656550,Grant Holmes,R,R,R
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,6,695734,Daylen Lile,656550,Grant Holmes,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,7,691002,Yohandy Morales,656550,Grant Holmes,R,R,R
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,8,660688,Keibert Ruiz,656550,Grant Holmes,S,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Washington Nationals,Atlanta Braves,home,9,683083,Nasim Nuñez,656550,Grant Holmes,S,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,1,686948,Drake Baldwin,695418,Brad Lord,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,2,660670,Ronald Acuña Jr.,695418,Brad Lord,R,R,R
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,3,621566,Matt Olson,695418,Brad Lord,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,4,645277,Ozzie Albies,695418,Brad Lord,S,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,5,671739,Michael Harris II,695418,Brad Lord,L,R,L
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,6,669221,Sean Murphy,695418,Brad Lord,R,R,R
2026-09-02,822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,away,7,573262,Mike Yastrzemski,695418,Brad Lord,L,R,L
