date,game_pk,game_time_utc,team,opponent,home_away,slot,batter_id,batter_name,opp_starter_id,opp_starter_name,bats,opp_throws,stand
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,1,814430,Brett Callahan,642547,Freddy Peralta,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,2,805808,Kevin McGonigle,642547,Freddy Peralta,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,3,650402,Gleyber Torres,642547,Freddy Peralta,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,4,690993,Colt Keith,642547,Freddy Peralta,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,5,693307,Dillon Dingler,642547,Freddy Peralta,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,6,656716,Zach McKinstry,642547,Freddy Peralta,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,7,679529,Spencer Torkelson,642547,Freddy Peralta,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,8,703601,Max Clark,642547,Freddy Peralta,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Detroit Tigers,Tampa Bay Rays,home,9,701678,Hao-Yu Lee,642547,Freddy Peralta,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,1,650490,Yandy Díaz,675512,Troy Melton,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,2,666018,Jonathan Aranda,675512,Troy Melton,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,3,691406,Junior Caminero,675512,Troy Melton,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,4,689414,Liam Hicks,675512,Troy Melton,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,5,802415,Chandler Simpson,675512,Troy Melton,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,6,676356,Jonny DeLuca,675512,Troy Melton,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,7,680700,Richie Palacios,675512,Troy Melton,L,R,L
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,8,622761,Jorge Mateo,675512,Troy Melton,R,R,R
2026-08-26,824234,2026-08-26T17:10:00Z,Tampa Bay Rays,Detroit Tigers,away,9,656775,Cedric Mullins,675512,Troy Melton,L,R,L
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,1,545121,Ildemaro Vargas,571510,Matthew Boyd,S,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,2,682998,Corbin Carroll,571510,Matthew Boyd,L,L,L
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,3,672695,Geraldo Perdomo,571510,Matthew Boyd,S,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,4,571448,Nolan Arenado,571510,Matthew Boyd,R,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,5,694374,Tim Tawa,571510,Matthew Boyd,R,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,6,699912,Jose Fernandez,571510,Matthew Boyd,R,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,7,543510,James McCann,571510,Matthew Boyd,R,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,8,691783,Jordan Lawlar,571510,Matthew Boyd,R,L,R
2026-08-26,825039,2026-08-26T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,home,9,814439,Ryan Waldschmidt,571510,Matthew Boyd,R,L,R
